Названия;Соответствие;Запоминаемость;Благозвучие;Понятность;Оригинальность;Привлекательность;Выразительность;Возраст ЦА;Пол ЦА;Сфера бизнеса
Ригла (Москва);0;2;3;2;4;3;5;19;М;Реклама
Планета здоровья (Пермь);4;4;5;5;3;3;2;19;М;Реклама
Апрель (Краснодар);0;4;2;3;4;2;3;19;М;Реклама
Эркафарм (Москва);0;1;2;1;4;2;2;19;М;Реклама
Имплозия (Самара);0;3;3;3;4;2;2;19;М;Реклама
Нео-Фарм (Москва);4;3;4;2;4;2;3;19;М;Реклама
Аптечная сеть «36,6» (Москва);5;5;5;5;3;4;4;19;М;Реклама
Вита (Самара);1;3;4;1;5;4;4;19;М;Реклама
Фармленд (Уфа);3;3;1;2;5;3;2;19;М;Реклама
Мелодия здоровья (Новосибирск);5;4;4;5;3;5;4;19;М;Реклама
Фармакопейка (Омск) & Твой доктор (Тула);4;3;2;3;4;3;3;19;М;Реклама
36,7C & Максавит (Нижний Новгород);4;4;3;4;3;5;4;19;М;Реклама
Аптека-Таймер (Пермь);5;3;3;4;2;5;3;19;М;Реклама
Фармаимпекс & Фармакон + Клюква (Ижевск);2;2;1;2;4;1;2;19;М;Реклама
Здоров.ру (Москва);4;5;4;4;4;5;4;19;М;Реклама
Магнит Аптека (Краснодар);5;5;4;5;5;4;4;19;М;Реклама
Социальная аптека + Юг-Фарма (Ростов-на-Дону);5;3;3;4;2;4;4;19;М;Реклама
Новая аптека & Аптека Миницен (Хабаровск);5;3;3;4;4;3;2;19;М;Реклама
Сбер Еаптека (Москва);5;4;4;4;4;5;5;19;М;Реклама
Губернские аптеки (Красноярск);5;5;4;4;4;5;5;19;М;Реклама
Родникадоровья &ЛекОптТорr (Санкт-Петербург);4;3;3;3;4;3;3;19;М;Реклама
Невис (Самкт-Петербург);1;5;4;4;4;5;4;19;М;Реклама
Алоэ (Эдифарм) (Санкт-Петербург);4;5;5;5;5;5;4;19;М;Реклама
Петербургские аптеки (Санкт-Петербург);5;5;4;5;3;3;3;19;М;Реклама
Farmani & Аптечество (Нижний Новгород);2;3;3;4;4;2;3;19;М;Реклама
Монастырёв.рф (Владивосток);1;4;4;3;3;4;4;19;М;Реклама
Здоровье (Усть-Лабинск);4;5;5;5;3;5;4;19;М;Реклама
Ставропольские городские аптеки (Ставрополь);5;4;4;3;3;4;4;19;М;Реклама
Надежда-Фарм (Тамбов);3;3;2;1;4;2;2;19;М;Реклама
Антей (Вологда);1;3;2;3;5;2;2;19;М;Реклама
Фармэконом (Иркутск);3;4;4;5;3;5;4;19;М;Реклама
Эдельвейс (Кемерово);1;5;4;3;5;4;3;19;М;Реклама
Аптека для бережливых (Мурманск) + Формула Здоровья (Мурманск);5;4;3;5;4;4;5;19;М;Реклама
Волгофарм (Волгоград);5;4;3;3;2;3;3;19;М;Реклама
Алия-Фарм (Самара);2;3;5;3;5;5;4;19;М;Реклама
Аптечные традиции (Курск);5;4;3;5;3;4;3;19;М;Реклама
Областной аптечный склад (Челябинск);5;2;1;5;3;5;1;19;М;Реклама
Семейная аптека (Благовещенск);5;4;4;5;3;5;3;19;М;Реклама
Ваша №1 (Москва);1;3;2;0;3;4;0;19;М;Реклама
Гармония здоровья (Красноярск);4;4;4;4;3;5;4;19;М;Реклама
ФармИмЭкс (Москва);3;2;1;3;3;3;1;19;М;Реклама
Башфармация (Уфа);2;3;2;3;2;3;3;19;М;Реклама
Нижегородская областная фармация (Нижний Новгород);2;3;2;4;2;5;1;19;М;Реклама
Вита-Плюс (Пятигорск);2;4;5;1;4;5;3;19;М;Реклама
Аптеки Столицы (Москва);5;4;3;5;3;5;3;19;М;Реклама
Гран-К(Симферополь);0;3;3;0;4;3;3;19;М;Реклама
Трика (Москва);0;2;3;0;4;3;4;19;М;Реклама
Диалог (Москва);0;4;3;0;4;3;3;19;М;Реклама
O'vita (Владивосток);0;5;4;2;5;5;5;19;М;Реклама
Ваш доктор (Бийск);5;4;3;4;3;4;3;19;М;Реклама
Сердце России (Москва);0;4;3;1;4;4;3;19;М;Реклама
Витафарм (Москва);2;5;3;3;4;3;4;19;М;Реклама
Фармация (Саранск);2;3;4;3;2;3;5;19;М;Реклама
Социальная аптека «Лаки-Фарма» (Краснодар);5;3;3;5;3;5;2;19;М;Реклама
Оренлек (Оренбург);2;2;2;2;3;3;2;19;М;Реклама
Новосибирская аптечная сеть (Новосибирск);5;3;2;5;3;5;2;19;М;Реклама
Флория (Чита);0;5;5;1;5;4;5;19;М;Реклама
Дешевая аптека (Ростов-на-Дону);5;5;3;5;3;5;2;19;М;Реклама
Семейная аптека (Омск);5;5;4;5;3;5;2;19;М;Реклама
Аптека25.рф (Владивосток);5;4;3;5;3;5;2;19;М;Реклама
Брянскфармация (Брянск);2;4;2;3;3;3;2;19;М;Реклама
Столичные аптеки (Москва);5;4;3;5;3;4;2;19;М;Реклама
Омское лекарство (Омск);4;3;3;4;3;4;2;19;М;Реклама
Фитофарм (Анапа);2;3;4;3;4;3;4;19;М;Реклама
Фиалка (Санкт-Петербург);0;4;5;0;4;3;4;19;М;Реклама
Таблеточка (Белгород);3;5;3;4;4;4;3;19;М;Реклама
Губернский лекарь (Барнаул);4;4;3;4;4;5;3;19;М;Реклама
Липецкфармация (Липецк);2;3;2;3;3;3;2;19;М;Реклама
Мособлмедсервис (Московская область);2;1;2;4;3;3;0;19;М;Реклама
Биотэк (Москва);2;5;5;3;4;5;5;19;М;Реклама
